,exp_stage,history,rating,rt,stim_file,stim_index,subjid,stim_acc,stim_freq,reg_rating,stim_repetition,labeled_value,community,structure_coefficient
5,value_rating,"[(None, 0.0), (1.9, 3.664), (1.9, 4.482)]",1.9,4.482,images/7.png,4,BS,0.868131868132,113,-1.4410249544,0,8.86296143461,0,-0.00794653544083
6,value_rating,"[(None, 0.0), (1.2, 5.287), (1.1, 5.351), (1.1, 6.305)]",1.1,6.305,images/8.png,2,BS,0.923076923077,118,-0.718241977281,0,9.90846454017,0,-0.00794653544083
7,value_rating,"[(None, 0.0), (1.7, 1.577), (1.7, 2.372)]",1.7,2.372,images/7.png,4,BS,0.868131868132,113,-1.6410249544,1,8.86296143461,0,-0.00794653544083
8,value_rating,"[(None, 0.0), (1.1, 1.148), (1.1, 1.99)]",1.1,1.99,images/9.png,5,BS,0.9,59,-1.35781082767,1,4.66775983763,2,-0.00794653544083
9,value_rating,"[(None, 0.0), (0.2, 3.397), (0.2, 4.211)]",0.2,4.211,images/11.png,10,BS,0.921875,78,-1.65155285491,1,3.11548605754,1,-0.00794653544083
10,value_rating,"[(None, 0.0), (1.5, 2.338), (1.5, 3.155)]",1.5,3.156,images/6.png,8,BS,0.931034482759,79,-0.0977009943883,1,1.08503847794,1,-0.00794653544083
11,value_rating,"[(None, 0.0), (5.6, 1.928), (5.6, 2.59)]",5.6,2.59,images/2.png,9,BS,0.821428571429,74,0.964609515056,1,1.11560484841,1,-0.00794653544083
12,value_rating,"[(None, 0.0), (1.5, 1.671), (1.5, 2.362)]",1.5,2.362,images/8.png,2,BS,0.923076923077,118,-0.318241977281,1,9.90846454017,0,-0.00794653544083
13,value_rating,"[(None, 0.0), (5.8, 1.887), (5.8, 2.568)]",5.8,2.568,images/5.png,3,BS,0.925,93,4.03505542692,1,9.72714822428,0,-0.00794653544083
14,value_rating,"[(None, 0.0), (1.4, 3.902), (1.4, 4.876)]",1.4,4.876,images/6.png,8,BS,0.931034482759,79,-0.197700994388,2,1.08503847794,1,-0.00794653544083
15,value_rating,"[(None, 0.0), (5.6, 1.658), (5.6, 2.306)]",5.6,2.306,images/2.png,9,BS,0.821428571429,74,0.964609515056,2,1.11560484841,1,-0.00794653544083
16,value_rating,"[(None, 0.0), (0.6, 1.556), (0.6, 2.289)]",0.6,2.289,images/11.png,10,BS,0.921875,78,-1.25155285491,2,3.11548605754,1,-0.00794653544083
17,value_rating,"[(None, 0.0), (1.4, 3.89), (1.4, 5.278)]",1.4,5.278,images/9.png,5,BS,0.9,59,-1.05781082767,2,4.66775983763,2,-0.00794653544083
18,value_rating,"[(None, 0.0), (1.9, 1.231), (1.9, 1.962)]",1.9,1.962,images/8.png,2,BS,0.923076923077,118,0.0817580227191,2,9.90846454017,0,-0.00794653544083
19,value_rating,"[(None, 0.0), (1.1, 1.585), (1.1, 2.356)]",1.1,2.356,images/7.png,4,BS,0.868131868132,113,-2.2410249544,2,8.86296143461,0,-0.00794653544083
20,value_rating,"[(None, 0.0), (6.1, 2.042), (6.1, 3.693)]",6.1,3.693,images/5.png,3,BS,0.925,93,4.33505542692,2,9.72714822428,0,-0.00794653544083
0,value_rating,"[(None, 0.0), (1.0, 18.134), (1.0, 19.392)]",1.0,19.392,images/2.png,3,CCT,0.880952380952,111,-3.08364265132,0,9.72714822428,0,-0.0403676646369
1,value_rating,"[(None, 0.0), (2.4, 6.315), (2.4, 9.392)]",2.4,9.393,images/8.png,9,CCT,0.970588235294,76,-2.02899315508,0,1.11560484841,1,-0.0403676646369
2,value_rating,"[(None, 0.0), (3.1, 6.632), (3.1, 8.593)]",3.1,8.593,images/7.png,4,CCT,0.95,113,-1.24967046125,0,8.86296143461,0,-0.0403676646369
3,value_rating,"[(None, 0.0), (1.3, 10.505), (1.3, 11.725)]",1.3,11.725,images/4.png,8,CCT,0.675,86,-1.99014590792,0,1.08503847794,1,-0.0403676646369
