,correct,duration,exp_stage,onset,response,rotation,rt,secondary_responses,secondary_rts,stim_file,stim_index,trialnum,subjid,correct_shift,community,community_cross,steps_within_community,steps_since_seen
45,True,1.5,structure_learning,69.7580361366,unrot,0,0.521520853043,[],[],images/10.png,3,46,GL,True,0,False,7,39
46,True,1.5,structure_learning,71.2633550167,unrot,0,0.500465154648,[],[],images/5.png,1,47,GL,True,0,False,8,6
47,True,1.5,structure_learning,72.7686281204,unrot,0,0.462515115738,[],[],images/10.png,3,48,GL,True,0,False,9,2
48,True,1.5,structure_learning,74.273786068,unrot,0,0.695214033127,[],[],images/11.png,4,49,GL,True,0,False,10,5
49,True,1.5,structure_learning,75.7789981365,unrot,0,0.848249912262,[],[],images/5.png,1,50,GL,True,0,False,11,3
50,True,1.5,structure_learning,77.2842040062,unrot,0,0.906026124954,[],[],images/14.png,2,51,GL,True,0,False,12,6
51,True,1.5,structure_learning,78.7892150879,rot,90,1.25137901306,[],[],images/15.png,0,52,GL,True,0,False,13,44
52,True,1.5,structure_learning,80.2944819927,unrot,0,1.04605507851,[],[],images/8.png,14,53,GL,True,2,True,1,22
53,False,1.5,structure_learning,81.7996439934,unrot,90,1.00051593781,[],[],images/1.png,12,54,GL,True,2,False,2,24
54,True,1.5,structure_learning,83.304872036,rot,90,0.948448896408,[],[],images/7.png,11,55,GL,False,2,False,3,23
55,False,1.5,structure_learning,84.8101160526,rot,0,0.806123971939,[],[],images/8.png,14,56,GL,True,2,False,4,3
56,False,1.5,structure_learning,86.3167710304,rot,0,0.959501981735,[],[],images/1.png,12,57,GL,False,2,False,5,3
57,True,1.5,structure_learning,87.8220741749,unrot,0,0.562361955643,[],[],images/7.png,11,58,GL,False,2,False,6,3
58,False,1.5,structure_learning,89.327712059,unrot,90,0.588316917419,[],[],images/8.png,14,59,GL,True,2,False,7,3
59,False,1.5,structure_learning,90.8332619667,rot,0,1.06044483185,[],[],images/15.png,0,60,GL,False,0,True,1,8
60,True,1.5,structure_learning,92.3384101391,unrot,0,1.18026995659,[],[],images/10.png,3,61,GL,False,0,False,2,13
61,True,1.5,structure_learning,93.8437211514,unrot,0,0.769681930542,[],[],images/15.png,0,62,GL,True,0,False,3,2
62,True,1.5,structure_learning,95.3488559723,unrot,0,0.827301025391,[],[],images/10.png,3,63,GL,True,0,False,4,2
63,False,1.5,structure_learning,96.8541321754,unrot,90,0.519981861115,[],[],images/15.png,0,64,GL,True,0,False,5,2
64,True,1.5,structure_learning,98.359236002,unrot,0,1.14227104187,[],[],images/8.png,14,65,GL,False,2,True,1,6
65,False,1.5,structure_learning,99.8645961285,rot,0,0.685398817062,[],[],images/1.png,12,66,GL,True,2,False,2,9
66,True,1.5,structure_learning,101.369899988,unrot,0,0.630451917648,[],[],images/8.png,14,67,GL,False,2,False,3,2
67,False,1.5,structure_learning,102.875277042,rot,0,0.841112852097,[],[],images/15.png,0,68,GL,True,0,True,1,4
68,True,1.5,structure_learning,104.380373955,unrot,0,0.786530971527,[],[],images/5.png,1,69,GL,False,0,False,2,19
69,True,1.5,structure_learning,105.885792971,unrot,0,0.892697095871,[],[],images/15.png,0,70,GL,True,0,False,3,2
70,True,1.5,structure_learning,107.390846968,unrot,0,0.843405008316,[],[],images/14.png,2,71,GL,True,0,False,4,20
71,True,1.5,structure_learning,108.899935961,unrot,0,0.496004104614,[],[],images/11.png,4,72,GL,True,0,False,5,23
72,False,1.5,structure_learning,110.405207157,rot,0,0.727336883545,[],[],images/14.png,2,73,GL,True,0,False,6,2
73,True,1.5,structure_learning,111.912986994,unrot,0,0.518112897873,[],[],images/11.png,4,74,GL,False,0,False,7,2
74,True,1.5,structure_learning,113.421512127,unrot,0,0.741656064987,[],[],images/3.png,5,75,GL,True,1,True,1,36
75,True,1.5,structure_learning,114.928090096,unrot,0,0.560360908508,[],[],images/12.png,7,76,GL,True,1,False,2,39
76,True,1.5,structure_learning,116.434684038,unrot,0,0.570254087448,[],[],images/3.png,5,77,GL,True,1,False,3,2
77,True,1.5,structure_learning,117.940066099,unrot,0,0.643974065781,[],[],images/6.png,8,78,GL,True,1,False,4,43
